a (Å),basis,xc,ke_cut (Ha),natm,fftdf_cutoff (Ha),alpha0,Rb (Bohr)
3.56074511,cc-pvdz/tz/qz,lda,200,8,NA,10,1.5
,,,,,,,
DZ,,,,,,,
volume,etot_paw,etot_gdf,conv_paw,conv_gdf,etot_cp2k,conv_cp2k,
222.0990951,-301.2962152,-301.1526,TRUE,TRUE,-301.3025027,TRUE,
261.2101668,-301.5724332,-301.4295334,TRUE,TRUE,-301.577868,TRUE,
304.6626818,-301.6930192,-301.5471437,TRUE,TRUE,-301.6979251,TRUE,
352.6851371,-301.7033542,-301.5546114,TRUE,TRUE,-301.7079285,TRUE,
405.5060295,-301.6367132,-301.4853801,TRUE,TRUE,-301.6415206,TRUE,
,,,,,,,
TZ,,,,,,,
volume,etot_paw,etot_gdf,conv_paw,conv_gdf,etot_cp2k,conv_cp2k,
222.0990951,-301.3952336,-301.1662293,TRUE,FALSE,-301.3929219,TRUE,
261.2101668,-301.6641768,-301.5291031,TRUE,TRUE,-301.6591439,TRUE,
304.6626818,-301.7743669,-301.6363924,TRUE,TRUE,-301.7699133,TRUE,
352.6851371,-301.775093,-301.6345452,TRUE,TRUE,-301.77206282,TRUE,
405.5060295,-301.7012551,-301.5576447,TRUE,TRUE,-301.6998887,TRUE,
,,,,,,,
QZ,,,,,,,
volume,etot_paw,etot_gdf,conv_paw,conv_gdf,etot_cp2k,conv_cp2k,
222.0990951,-301.4192014,0,TRUE,FALSE,-301.4236053,TRUE,
261.2101668,-301.6852176,0,TRUE,FALSE,-301.6895705,TRUE,
304.6626818,-301.794962,0,TRUE,FALSE,-301.7995518,TRUE,
352.6851371,-301.7946992,0,TRUE,FALSE,-301.7992452,TRUE,
405.5060295,-301.7178019,0,TRUE,FALSE,-301.7224817,TRUE,
