a (Å),basis,xc,ke_cut (Ha),natm,fftdf_cutoff (Ha),alpha0,Rb (Bohr)
3,cc-pvdz,None,200,2,2000,10,1.5
,,,,,,,
Bond Length (Å),etot_pyscf,etot_paw_before,etot_paw_after,etot_cp2k,before,after,cp2k
0.7,-3.099639297,-3.099545421,-3.099677511,-3.0998895193,9.39E-05,3.82E-05,2.50E-04
0.7571428571,-3.214163312,-3.214067473,-3.214197066,-3.2143102857,9.58E-05,3.38E-05,1.47E-04
0.8142857143,-3.309013084,-3.308917982,-3.309041889,-3.3091147693,9.51E-05,2.88E-05,1.02E-04
0.8714285714,-3.387815863,-3.387721812,-3.387841844,-3.3878902404,9.41E-05,2.60E-05,7.44E-05
0.9285714286,-3.453321615,-3.453230547,-3.453343981,-3.4533760529,9.11E-05,2.24E-05,5.44E-05
0.9857142857,-3.507680277,-3.507592434,-3.507698299,-3.5077191638,8.78E-05,1.80E-05,3.89E-05
1.042857143,-3.55260813,-3.552523541,-3.552621954,-3.5526350460,8.46E-05,1.38E-05,2.69E-05
1.1,-3.589495349,-3.589413617,-3.589505598,-3.5895126366,8.17E-05,1.02E-05,1.73E-05
1.157142857,-3.619472467,-3.619393025,-3.619479967,-3.6194828573,7.94E-05,7.50E-06,1.04E-05
1.214285714,-3.643453407,-3.643376437,-3.643457665,-3.6434585620,7.70E-05,4.26E-06,5.16E-06
1.271428571,-3.662165335,-3.662090861,-3.662165993,-3.6621667187,7.45E-05,6.58E-07,1.38E-06
1.328571429,-3.6761716,-3.676098954,-3.67616968,-3.6761703383,7.26E-05,1.92E-06,1.26E-06
1.385714286,-3.685890384,-3.685818699,-3.685887323,-3.6858871160,7.17E-05,3.06E-06,3.27E-06
1.442857143,-3.691609556,-3.691538744,-3.69160521,-3.6916044423,7.08E-05,4.35E-06,5.11E-06
1.5,-3.693497486,-3.693426704,-3.693493257,-3.6934919891,7.08E-05,4.23E-06,5.50E-06
