r,Before,After
3.0526198060921246,9.804970997673301e-05,2.0602716932938137e-05
1.844749273849951,9.804970696380977e-05,2.060271721451845e-05
2.9211052533402815,9.804970786975176e-05,2.0602718708684353e-05
2.99972440028732,9.8049707522474e-05,2.060271703624439e-05
0.973107498152908,9.804970394289292e-05,2.0602718343060156e-05
3.7949289702079505,9.80497064213548e-05,2.0602716650414132e-05
3.0302769662790436,9.804970344173825e-05,2.060271538145697e-05
2.7738119260069207,9.804970602123042e-05,2.0602715861545162e-05
3.6825744620777665,9.804970644644584e-05,2.060271838430494e-05
2.2990334232456386,9.804970550275627e-05,2.0602718898893313e-05
